Instrumento;Link Externo;UF;Municipio;CNPJ;Nome Proponente;Modalidade;Emenda;Objeto;Situacao;Natureza Juridica;Inicio Vigencia;Fim Vigencia; Valor Global ;Valor Empenhado; Valor Liberado ;Valor de Contrapartida; Total em Movimentacoes Financeiras ; Saldo em conta ; Vl Devolvido ;PC Informatizada;Relatorios de Execucao;Acao de Monitoramnto;Percental  Exec;Parecer Financeiro;Grau de Prioridade;Acao de Analise de PC;Data Limite para Apresentar PC;Data de Envio da  PC;Dias de Atraso Envio da PC;Status de Execucao;Analise de Equipamentos;Percentual de Evolucao da Analise;Parecer Tec -Merito;Pareceres Incluidos na Plataforma;Execucao  Financeira Concedente  e Convenente;Devolucao de Saldo p Uniao;Resto a Pagar ;Tecnico / Analista;Processo SEI;Nota de Risco;Limite Toler  Risco;Faixa de Risco;Data de Vinculo Fiscal ;Dias apos Envio da PC;ANOTACOES OBS;Ano;Ingresso de $; ALERTA de Execucao Financeira ; ALERTA Sem Desembolso ; ALERTA Sem Pgt + 150 Dias ; Acordao  TCU1203 ; GRAU DE PRIORIDADE ;
710652;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=100564&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;09112236000194;FUNDACAO NAPOLEAO LAUREANO;CONVENIO;NÃO;FUNDAMENTALMENTE É ATENDER COM QUALIDADE E EFICIÊNCIA A DEMANDA DE PACIENTES PORTADORES DE CÂNCER DO SISTEMA ÚNICO DE SAÚDE-SUS, GERANDO EFICÁCIA NO TRATAMENTO ONCOLÓGICO, COM A AQUISIÇÃO DE NOVOS EQUIPAMENTOS PARA O SERVIÇO DE NUTRIÇÃO E DIETÉTICA, FARMÁCIA E CENTRO CIRÚRGICO DO HOSPITAL NAPOLEÃO LAUREANO MANTIDO PELA FUNDAÇÃO LAUREANO.;Prestação de Contas Concluída;Organização da Sociedade Civil;31/12/2009;12/11/2013; 85.640,00 ; 85.640,00 ; 85.640,00 ; -   ; 85.640,00 ; -   ; -   ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;28/11/2015;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 100,00%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;25000.651832/2009-66;-;;;Sem Vínculo;-; ;2009;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
710665;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=100562&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;09112236000194;FUNDACAO NAPOLEAO LAUREANO;CONVENIO;NÃO;FUNDAMENTALMENTE É ATENDER COM QUALIDADE E EFICIÊNCIA A DEMANDA DE PACIENTES PORTADORES DE CÂNCER DO SISTEMA ÚNICO DE SAÚDE-SUS, GERANDO EFICÁCIA NO TRATAMENTO ONCOLÓGICO, COM A AQUISIÇÃO DE NOVOS EQUIPAMENTOS PARA O SERVIÇO DE DIAGNÓSTICO POR IMAGEM DO HOSPITAL NAPOLEÃO LAUREANO MANTIDO PELA FUNDAÇÃO LAUREANO.;Prestação de Contas Concluída;Organização da Sociedade Civil;31/12/2009;31/12/2011; 300.000,00 ; 300.000,00 ; 300.000,00 ; -   ; 283.000,00 ; -   ; 38.143,18 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;13/05/2014;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 94,33%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;25000.651910/2009-22;-;;;Sem Vínculo;-; ;2009;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
710675;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=100563&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;09112236000194;FUNDACAO NAPOLEAO LAUREANO;CONVENIO;NÃO;FUNDAMENTALMENTE É ATENDER COM QUALIDADE E EFICIÊNCIA A DEMANDA DE PACIENTES PORTADORES DE CÂNCER DO SISTEMA ÚNICO DE SAÚDE-SUS, GERANDO EFICÁCIA NO TRATAMENTO ONCOLÓGICO, COM A AQUISIÇÃO DE NOVOS EQUIPAMENTOS PARA O SERVIÇO DE CENTRO CIRÚRGICO NA CENTRAL DE MATERIAL ESTERELIZADO(CME)DO HOSPITAL NAPOLEÃO LAUREANO MANTIDO PELA FUNDAÇÃO LAUREANO.;Prestação de Contas Concluída;Organização da Sociedade Civil;31/12/2009;31/12/2011; 150.000,00 ; 150.000,00 ; 150.000,00 ; -   ; 150.000,00 ; -   ; 6.568,38 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;13/05/2014;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 100,00%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;25000.651929/2009-79;-;;;Sem Vínculo;-; ;2009;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
712103;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=99015&Usr=guest&Pwd=guest;PB;SÃO MIGUEL DE TAIPU;08868515000110;MUNICIPIO DE SAO MIGUEL DE TAIPU;CONTRATO DE REPASSE;NÃO;CONSTRUÇÃO DE UNIDADE DE SAUDE NO LOTEAMENTO NOVA ESPERANÇA;Convênio Anulado;Administração Pública Municipal;30/12/2009;30/06/2013; 204.100,00 ; -   ; -   ; 4.100,00 ; -   ; -   ; -   ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;30/06/2013;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 0,00%   |  Convenente: -;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;061845/2009;-;;;Sem Vínculo;-; ;2009;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
714636;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=105334&Usr=guest&Pwd=guest;PB;ARAÇAGI;08778029000100;MUNICIPIO DE ARACAGI;CONTRATO DE REPASSE;NÃO;CONSTRUÇÃO DE 2 (DUAS) UNIDADES BÁSICAS DE SAÚDE;Prestação de Contas Concluída;Administração Pública Municipal;31/12/2009;30/03/2023; 414.768,50 ; 400.000,00 ; 400.000,00 ; 14.768,50 ; 252.104,51 ; -   ; 532.980,50 ;SIM;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;20/04/2019;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 60,91%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;068074/2009;0,698922;;;Sem Vínculo;-; ;2009;13.883,06;Negativo;-;-;NÃO;INDEFINIDO;*
714637;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=86439&Usr=guest&Pwd=guest;PB;MAMANGUAPE;08898124000148;MUNICIPIO DE MAMANGUAPE;CONTRATO DE REPASSE;NÃO;AMPLIAÇÃO DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE;Convênio Anulado;Administração Pública Municipal;31/12/2009;30/06/2013; 510.500,00 ; -   ; -   ; 10.500,00 ; -   ; -   ; -   ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;30/06/2013;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 0,00%   |  Convenente: -;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;049547/2009;-;;;Sem Vínculo;-; ;2009;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
716022;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=122777&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;09112236000194;FUNDACAO NAPOLEAO LAUREANO;CONVENIO;NÃO;FUNDAMENTALMENTE É ATENDER COM QUALIDADE E EFICIÊNCIA A DEMANDA DE PACIENTES PORTADORES DE CÂNCER DO SISTEMA ÚNICO DE SAÚDE-SUS, GERANDO EFICÁCIA NO TRATAMENTO ONCOLÓGICO, COM A AQUISIÇÃO DE MATERIAL MÉDICO-HOSPITALAR PARA O HOSPITAL NAPOLEÃO LAUREANO MANTIDO PELA FUNDAÇÃO LAUREANO.;Prestação de Contas Concluída;Organização da Sociedade Civil;31/12/2009;30/12/2013; 186.305,00 ; 186.305,00 ; 186.305,00 ; -   ; 182.050,00 ; -   ; 7.419,95 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;1ª Prioridade;NÃO HOUVE DESEMBOLSO;15/11/2014;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 97,72%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;25000655509200961;-;;;Sem Vínculo;-; ;2009;0,00;Negativo;-;-;NÃO;1ª Prioridade;*
716024;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=122847&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;09112236000194;FUNDACAO NAPOLEAO LAUREANO;CONVENIO;NÃO;FUNDAMENTALMENTE É ATENDER COM QUALIDADE E EFICIÊNCIA A DEMANDA DE PACIENTES PORTADORES DE CÂNCER DO SISTEMA ÚNICO DE SAÚDE-SUS, GERANDO EFICÁCIA NO TRATAMENTO ONCOLÓGICO, COM A AQUISIÇÃO DE MATERIAL-MÉDICO HOSPITALAR PARA O SERVIÇO DE FARMÁCIA DO HOSPITAL NAPOLEÃO LAUREANO MANTIDO PELA FUNDAÇÃO LAUREANO.;Prestação de Contas Concluída;Organização da Sociedade Civil;31/12/2009;31/12/2011; 100.000,00 ; 100.000,00 ; 100.000,00 ; -   ; 86.450,00 ; -   ; 16.492,43 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;30/01/2012;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 86,45%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;25000.670181/2009-11;-;;;Sem Vínculo;-; ;2009;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
716188;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=124376&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;09112236000194;FUNDACAO NAPOLEAO LAUREANO;CONVENIO;NÃO;FUNDAMENTALMENTE É ATENDER COM QUALIDADE E EFICIÊNCIA A DEMANDA DE PACIENTES PORTADORES DE CÂNCER DO SISTEMA ÚNICO DE SAÚDE-SUS, GERANDO EFICÁCIA NO TRATAMENTO ONCOLÓGICO, COM A AQUISIÇÃO DE NOVOS EQUIPAMENTOS PARA O SERVIÇO DE UNIDADE DE TERAPIA INTENSIVA E CENTRO CIRÚRGICO DO HOSPITAL NAPOLEÃO LAUREANO MANTIDO PELA FUNDAÇÃO LAUREANO.;Prestação de Contas Concluída;Organização da Sociedade Civil;31/12/2009;12/11/2013; 200.000,00 ; 200.000,00 ; 200.000,00 ; -   ; 200.000,00 ; -   ; 2.714,47 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;1ª Prioridade;NÃO HOUVE DESEMBOLSO;12/12/2013;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 100,00%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;25000655426200972;-;;;Sem Vínculo;-; ;2009;0,00;Negativo;-;-;NÃO;1ª Prioridade;*
716205;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=129065&Usr=guest&Pwd=guest;PB;CAMPINA GRANDE;08841421000157;FUNDACAO ASSISTENCIAL DA PARAIBA- FAP;CONVENIO;NÃO;AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE.;Prestação de Contas Concluída;Organização da Sociedade Civil;31/12/2009;10/01/2012; 100.000,00 ; 100.000,00 ; 100.000,00 ; -   ; 67.270,00 ; -   ; -   ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;09/02/2012;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 67,27%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;25000655436200916;-;;;Sem Vínculo;-; ;2009;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
